name,year,selling_price,km_driven,mileage(km/ltr/kg),engine,max_power,seats,fuel_LPG,fuel_Petrol,owner_Second Owner,owner_Third Owner
Maruti Swift Dzire VDI,2014,450000,145500,23.4,1248,74,5,FALSE,FALSE,FALSE,FALSE
Skoda Rapid 1.5 TDI Ambition,2014,370000,120000,21.14,1498,103.52,5,FALSE,FALSE,TRUE,FALSE
Honda City 2017-2020 EXi,2006,158000,140000,17.7,1497,78,5,FALSE,TRUE,FALSE,TRUE
Hyundai i20 Sportz Diesel,2010,225000,127000,23,1396,90,5,FALSE,FALSE,FALSE,FALSE
Maruti Swift VXI BSIII,2007,130000,120000,16.1,1298,88.2,5,FALSE,TRUE,FALSE,FALSE
Hyundai Xcent 1.2 VTVT E Plus,2017,440000,45000,20.14,1197,81.86,5,FALSE,TRUE,FALSE,FALSE
Maruti Wagon R LXI DUO BSIII,2007,96000,175000,17.3,1061,57.5,5,TRUE,FALSE,FALSE,FALSE
Maruti 800 DX BSII,2001,45000,5000,16.1,796,37,4,FALSE,TRUE,TRUE,FALSE
Toyota Etios VXD,2011,350000,90000,23.59,1364,67.1,5,FALSE,FALSE,FALSE,FALSE
Ford Figo Diesel Celebration Edition,2013,200000,169000,20,1399,68.1,5,FALSE,FALSE,FALSE,FALSE
Renault Duster 110PS Diesel RxL,2014,500000,68000,19.01,1461,108.45,5,FALSE,FALSE,TRUE,FALSE
Maruti Zen LX,2005,92000,100000,17.3,993,60,5,FALSE,TRUE,TRUE,FALSE
Maruti Swift Dzire VDi,2009,280000,140000,19.3,1248,73.9,5,FALSE,FALSE,TRUE,FALSE
Maruti Swift 1.3 VXi,2007,200000,80000,19.5,1248,76,5,FALSE,TRUE,TRUE,FALSE
Maruti Wagon R LXI Minor,2009,180000,90000,18.9,1061,67,5,FALSE,TRUE,TRUE,FALSE
Mahindra KUV 100 mFALCON G80 K8 5str,2016,400000,40000,18.15,1198,82,5,FALSE,TRUE,FALSE,FALSE
Maruti Ertiga SHVS VDI,2016,778000,70000,24.52,1248,88.5,7,FALSE,FALSE,TRUE,FALSE
Hyundai i20 1.4 CRDi Asta,2012,500000,53000,23,1396,90,5,FALSE,FALSE,TRUE,FALSE
Maruti Alto LX,2002,150000,80000,19.7,796,46.3,5,FALSE,TRUE,TRUE,FALSE
